Continent,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate
Asia,16427170,287534,14631587,1508049,49354.47843300343,93.95716510758524
Europe,16911852,385474,6612033,9914345,117617.3253927223,78.68647636899243
Africa,2137029,51265,1806297,279467,12387.709483259241,124.52986728707185
America,26268445,720141,16485464,9062840,40768.31871252617,88.19387820382393
Oceania,30640,941,28168,1531,173.27892660113605,10.82058619879458
Others,721,15,659,47,0,24.048064918851434
Total Global,61775857,1445370,39564208,20766279,220301.1109481123,420.23603808511945
